Fiscal Year,DISTRICT,STATE,Company Name,ASSETS(MILLIONS),Assets Status,LIABILITIES(MILLIONS),Liabilities Status
2011,D,NJ,RCLC Inc.,16.37,Reported,10.37,Reported
2010,D,NJ,RCLC,16.37,Reported,10.37,Reported
2009,ND,TX,FirstPlus Financial Group Inc.,15.00,Reported,4.50,Reported
2011,D,DE,JAVO Beverage Company Inc.,14.66,Reported,26.71,Reported
2009,ED,TX,TWL Corporation,14.30,Reported,37.60,Reported
2011,SD,FL,Gulfstream International Group Inc.,13.60,Reported,26.00,Reported
2009,D,AZ,ILX Resorts Inc.,12.90,Reported,29.40,Reported
2011,D,NV,Riviera Holdings Corporation,12.45,Reported,270.00,Reported
2009,D,CO,Tapestry Pharmaceuticals Inc.,11.80,Reported,3.70,Reported
2009,SD,TX,Platina Energy Group Inc.,11.70,Reported,13.10,Reported
2009,D,ID,Sterling Mining Company,11.70,Reported,14.20,Reported
2009,D,DE,Northfield Laboratories Inc.,10.90,Reported,1.80,Reported
2009,ED,TN,Paladin Holdings Inc.,10.80,Reported,3.20,Reported
2009,SD,FL,Teleplus World Corp.,10.80,Reported,21.20,Reported
2011,MD,FL,Tel Tronics Inc.,10.25,Reported,19.14,Reported
2011,SD,NY,Credit Based Asset Serviceing and Securitization LLC,10.00,Reported,170.00,Reported
2011,ED,VA,Commonwealth Biotechnologies Inc.,9.80,Reported,4.90,Reported
2011,WD,KY,Kentucky USA Energy Inc. et al.,9.76,Reported,10.19,Reported
2009,WD,TX,Introgen Therapeutics Inc. et al.,9.10,Reported,12.90,Reported
2009,D,DE,Vermillion Inc.,7.20,Reported,32.00,Reported
2010,D,DE,Vermillioin Inc.,7.15,Reported,32.02,Reported
2010,ND,IL,Amcore Financial Inc.,7.00,Reported,75.00,Reported
2010,SD,FL,BSML Inc.,6.94,Reported,9.97,Reported
2009,ED,CA,Capitol Corp. of the West,6.80,Reported,68.00,Reported
2011,D,KS,ICOP Digital Inc.,6.70,Reported,4.36,Reported
2010,SD,NY,American Mortgage Acceptance Company,6.37,Reported,119.97,Reported
2009,CD,CA,North American Scientific Inc.,6.20,Reported,5.80,Reported
2011,D,DE,Waste2Energy Holdings Inc.,6.00,Reported,17.00,Reported
2011,CD,CA,Composite Technology Corporation,5.86,Reported,12.40,Reported
2009,D,NV,Herbst Gaming Inc.(Sands Regent),5.70,Reported,1179.00,Reported
2009,ND,CA,Tvia Inc.,5.60,Reported,1.10,Reported
2009,ND,IL,ISCO International Inc.,5.30,Reported,25.50,Reported
2010,ND,IL,Isco International Inc.,5.28,Reported,25.46,Reported
2010,WD,TX,MDI Inc.,5.18,Reported,2.99,Reported
2009,D,AZ,Global Aircraft Dolutions Inc.,4.60,Reported,12.00,Reported
2010,CD,CA,FirstFed Financial Corp.,4.47,Reported,159.65,Reported
2009,ND,IL,Xechem International Inc.,3.90,Reported,11.10,Reported
2009,SD,FL,SENDTEC Inc.,3.70,Reported,17.40,Reported
2009,ND,TX,TXP Corporation,3.60,Reported,16.80,Reported
2009,D,DE,GigaBeam Corp.,3.20,Reported,9.40,Reported
2010,D,DE,GigaBeam Corp.,3.18,Reported,9.40,Reported
2009,WD,TX,IndentiPHI Inc.,3.10,Reported,4.80,Reported
2009,MD,FL,GPS Industries Inc.,3.00,Reported,27.90,Reported
2009,SD,TX,Particle Drilling Technologies Inc. et al.,2.90,Reported,1.40,Reported
2009,ND,CA,Aviza Technology Inc.,2.60,Reported,38.30,Reported
2011,D,MA,LocatePLUS Holdings Corp.,2.08,Reported,10.47,Reported
2011,D,NE,QA3 Financial Corp.,2.08,Reported,2.07,Reported
2011,SD,CA,Transdel Pharmaceuticals Inc.,2.00,Reported,2.00,Reported
2009,WD,OK,Powder River Petroleum International Inc.,1.90,Reported,57.40,Reported
2009,ND,TX,Espre Solutions Inc.,1.80,Reported,5.80,Reported
2011,SD,NY,Iron Mining Group Inc.,1.75,Reported,6.26,Reported
2010,ND,CA,ECO2 Plastics Inc.,1.70,Reported,6.39,Reported
2011,D,DE,Regen Biologics Inc.,1.50,Reported,5.21,Reported
2010,D,CO,Ceragenix Pharmaceuticals Inc. et al.,1.50,Reported,12.96,Reported
2009,ED,NC,Cape Fear Bank Corporation,1.20,Reported,10.40,Reported
2009,MD,FL,Life Sciences Inc.,1.20,Reported,0.80,Reported
2009,SD,FL,DNC Multimedia Corporation,1.10,Reported,1.20,Reported
2011,D,AZ,Star Buffett Inc.,1.06,Reported,12.17,Reported
2009,SD,NY,Forticell Bioscience,1.00,Reported,8.30,Reported
2009,D,CO,Telemetrix Inc. et al.,1.00,Reported,13.80,Reported
2009,SD,CA,MicroIslet Inc.,0.90,Reported,5.00,Reported
2009,D,KS,Team Financial Inc.,0.70,Reported,26.70,Reported
2009,SD,CA,Molecular Imaging Corp.,0.60,Reported,16.10,Reported
2010,SD,NY,Spongetech Delivery Systems Inc.,0.50,Reported,,Missing
2009,ND,TX,Knight Energy Corp. et al.,0.50,Reported,4.80,Reported
2010,MD,FL,Certified Diabetic Services Inc.,0.40,Reported,0.81,Reported
2010,D,DE,Topspin Medical Inc.,0.36,Reported,0.54,Reported
2009,ND,TX,Cardinal Communications Inc.,0.35,Reported,4.40,Reported
2009,D,DE,Worldspace Inc.,0.30,Reported,2.10,Reported
2009,ND,GA,Vubotics Inc.,0.02,Reported,3.60,Reported
2009,SD,NY,Hydrogen LLC,0.00,Reported,10.00,Reported
2011,SD,CA,Bridgetech Holdings International Inc.,,Missing,7.00,Reported
2011,ND,CA,Java Detour Inc.,,Missing,3.00,Reported
2011,ED,NC,Law Enforcement Associates Corporation,,Missing,2.00,Reported
2011,D,DE,Sand Spring Capital,,Missing,,Missing
2010,D,MD,Kore Holdings Inc.,,Missing,,Missing
2009,SD,NY,ION Media Networks Inc.,,Missing,3000.00,Reported
2009,D,DE,Isolagen Inc.,,Missing,88.10,Reported
